date,model,prompt,response_summary,is_hallucinated,hallucination_type,notes
2026-05-25,Claude Sonnet 4.6 (Consumer Version),List 3 academic studies from MIT about AI consciousness published in 2024.,Model stated that verified MIT studies specifically about AI consciousness could not be found.,No,none,Response avoided unsupported citation generation.
,,,,,,
2026-05-25,Gemini 3.1 Pro (Consumer Version),List 3 academic studies from MIT about AI consciousness published in 2024.,"Model returned MIT-related studies involving AI ethics, emotional wellbeing, and adjacent consciousness-related themes.",Possibly,mixed_or_unsupported_claim,Some responses may not directly satisfy the original prompt.
,,,,,,
2026-05-25,ChatGPT-5.5 (Consumer Version),List 3 academic studies from MIT about AI consciousness published in 2024.,Model returned MIT-related interpretability and neuroscience research connected indirectly to AI consciousness discussions.,Possibly,topic_reframing,Response broadened the original request into adjacent research areas.
,,,,,,
2026-05-28,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,Do humans only use 10% of their brains?,Model correctly identified the 10% brain usage claim as a myth and explained that brain activity occurs throughout the brain.,no,none,Model correctly identified the 10% brain usage claim as a myth and referenced neuroscience evidence.
,,,,,,
2026-05-28,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,What percentage of the ocean is unexplored?,Model stated that approximately 80% of the ocean remains unexplored.,Possibly,oversimplification_or_false_precision,NOAA sources describe ocean exploration as context-dependent and nuanced. The model gave a simplified estimate without clarification.
,,,,,,
2026-05-30,poolside/laguna-xs.2:free,Give scientific studies showing gaming improves reflexes.,Model provided several scientific studies related to gaming and reaction time improvements.,Possibly,possible_citation_inaccuracy,"Multiple studies were verified as real, though some citation metadata may require deeper verification."
